Title,Year,Votes,Rating
71 Fragmente einer Chronologie des Zufalls,1994,3353,7.2
711 Ocean Drive,1950,500,6.9
72 metra,2004,870,6.7
7:35 de la ma“ana,2003,1221,7.3
7eventy 5ive,2007,2086,4.7
7th Cavalry,1956,560,5.9
7th Heaven,1927,1576,7.9
8,2008,713,4.7
8,2010,781,7.9
8 Ball Bunny,1950,596,7.4
8 Heads in a Duffel Bag,1997,7193,5.2
8 Mile,2002,140359,6.9
8 Million Ways to Die,1986,2760,5.6
8 Seconds,1994,3323,6.4
8 femmes,2002,20489,7.1
8 x 10 Tasveer,2009,1262,5.1
8 ? Women,1999,3030,5.8
8-Pallo,2013,868,6.3
80 Minutes,2008,810,4.1
800 balas,2002,2850,6.4
84 Charing Cross Road,1987,5028,7.5
84C MoPic,1989,1179,7.2
88 Minutes,2007,56956,5.9
8: The Mormon Proposition,2010,1005,7.1
8MM,1999,90905,6.5
8MM 2,2005,3207,4.6
8?,1963,59730,8.2
9,2002,897,7.8
9,2005,2185,7.7
9,2009,88383,7.1
9 Dead Gay Guys,2002,1224,6.3
9 Songs,2004,14890,4.9
9 millimeter,1997,716,3.1
9 mois ferme,2013,1652,6.7
9 rota,2005,14031,7.2
9 to 5: Days in Porn,2008,1268,6.6
11-Sep,2002,5010,8.3
9/11: The Falling Man,2006,637,7.4
90 minutter,2012,822,6.2
911 Mysteries Part 1: Demolitions,2006,503,7.7
911 in Plane Site,2004,1102,7.1
911: The Road to Tyranny,2002,625,7.1
96 Minutes,2011,2285,5.7
964 Pinocchio,1991,928,5.6
976-EVIL,1988,2803,4.8
976-Evil II,1992,895,3.9
99,2009,1786,7.3
99 River Street,1953,1052,7.5
99 francs,2007,12246,7.3
A Bag of Hammers,2011,1957,6.6
A Band Called Death,2012,1878,7.5
A Bear Named Winnie,2004,528,7
A Beautiful Mind,2001,401899,8.2
A Beginner's Guide to Endings,2010,1062,6.4
A Bela e o Paparazzo,2010,755,6.2
A Better Life,2011,11106,7.2
A Better Place,1997,896,7.1
A Better Way to Die,2000,1283,5.7
