Title,Year,Votes,Rating
Stachka,1925,3837,7.7
Stacy,2001,1287,5.2
Stadt Land Fluss,2011,592,6.9
Stadtgesprâch,1995,642,6.5
Stag,1997,687,5.5
Stag Night,2008,2208,4.9
Stage Beauty,2004,7996,7.3
Stage Door,1937,4846,7.8
Stage Door Canteen,1943,1005,6.8
Stage Fright,1950,7576,7.1
Stage Fright,2014,811,5.3
Stage Struck,1925,639,8.1
Stagecoach,1939,24762,7.9
Stagecoach,1966,759,6
Staggered,1994,525,5.9
Stake Land,2010,27743,6.6
Stakeout,1987,16106,6.6
Stalag 17,1953,36753,8.1
Stalin,1992,1472,7.2
Stalin,2006,547,5.5
Stalingrad,1993,20118,7.5
Stalingrad,2013,6343,5.5
Stalker,1979,48813,8.2
Stalled,2013,826,4.8
Stan Helsing,2009,8306,3.6
"Stan Lee's Mutants, Monsters & Marvels",2002,568,7.1
Stand Up Guys,2012,34454,6.6
Stand and Deliver,1988,10358,7.4
Stand by Me,1986,203354,8.2
Stand-In,1937,693,6.9
Standard Operating Procedure,2008,2864,7.5
Stander,2003,6324,7.3
Standing Still,2005,1850,5.9
Standing Up,2013,1473,6.9
Standing in the Shadows of Motown,2002,2600,7.8
Stanley & Iris,1990,4625,6.2
Stanley Ka Dabba,2011,2537,7.9
Stanley Kubrick's Boxes,2008,643,7.7
Stanley Kubrick: A Life in Pictures,2001,7052,8
Stanley and Livingstone,1939,833,7.2
Stanno tutti bene,1990,1810,7.7
Stapki v pyasaka,2010,981,8.2
Staplerfahrer Klaus - Der erste Arbeitstag,2000,3534,8
Star,2001,5633,7.8
Star 80,1983,3707,6.6
Star Kid,1997,1493,5.4
Star Maps,1997,832,6
Star Runners,2009,682,4.5
Star Tours,1987,1218,7.7
Star Trek,2009,412944,8
Star Trek III: The Search for Spock,1984,47531,6.6
Star Trek IV: The Voyage Home,1986,49120,7.3
Star Trek Into Darkness,2013,285203,7.9
Star Trek V: The Final Frontier,1989,34951,5.3
Star Trek VI: The Undiscovered Country,1991,45264,7.2
Star Trek: First Contact,1996,84389,7.6
Star Trek: Generations,1994,49407,6.6
Star Trek: Insurrection,1998,47116,6.4
Star Trek: Nemesis,2002,47537,6.4
Star Trek: Of Gods and Men,2007,752,6.4
Star Trek: The Motion Picture,1979,50875,6.3
Star Trek: The Wrath of Khan,1982,76518,7.8
Star Wars,1977,645891,8.7
Star Wars: Episode I - The Phantom Menace,1999,386684,6.6
Star Wars: Episode II - Attack of the Clones,2002,329853,6.8
Star Wars: Episode III - Revenge of the Sith,2005,371659,7.7
Star Wars: Episode V - The Empire Strikes Back,1980,576823,8.8
Star Wars: Episode VI - Return of the Jedi,1983,456132,8.4
Star Wars: Revelations,2005,880,5.3
Star Wars: The Clone Wars,2008,32182,5.7
Star Wreck: In the Pirkinning,2005,5225,7
Star of Midnight,1935,595,6.9
Star!,1968,1272,6.6
StarStruck,2010,3931,6.2
Stara basn. Kiedy slonce bylo bogiem,2003,666,5.3
Starbuck,2011,10347,7.3
Starchaser: The Legend of Orin,1985,1111,6.8
Starcrash,1978,2591,3.9
Starcrossed,2005,1347,7.3
Stardom,2000,1418,5.7
Stardust,1974,501,6.8
Stardust,2007,176164,7.8
Stardust Memories,1980,13006,7.5
Starflight: The Plane That Couldn't Land,1983,528,4.7
Stargate,1994,126106,7
Stargate SG-1: Children of the Gods - Final Cut,2009,1205,7.8
Stargate: Continuum,2008,12393,7.5
Stargate: The Ark of Truth,2008,10872,7.3
Stariki-razboyniki,1973,756,7.5
Stark Raving Mad,2002,3758,6.5
Starkweather,2004,699,4.9
Starlet,2012,2809,6.7
Starman,1984,26845,7
Staroye i novoye,1929,613,7.3
Starred Up,2013,1624,7.7
Stars and Bars,1988,592,4.8
Stars and Stripes Forever,1952,579,7.3
Stars in My Crown,1950,978,7.6
Starship Troopers,1997,182544,7.2
Starship Troopers 2: Hero of the Federation,2004,15877,3.4
Starship Troopers 3: Marauder,2008,16849,4.4
Starship Troopers: Invasion,2012,6779,5.9
Starsky & Hutch,2004,103841,6.1
Starstruck,1982,669,7
Start the Revolution Without Me,1970,1779,6.6
Starter for 10,2006,12981,6.8
Starting Out in the Evening,2007,2630,7
Starting Over,1979,1375,6.6
Startup.com,2001,2840,7.1
Stash House,2012,1627,4.8
State Fair,1945,2160,7.2
State Fair,1962,690,6
State Property,2002,1450,4.1
State Property 2,2005,1083,4.2
State and Main,2000,17000,6.8
State buoni... se potete,1983,786,8.2
State of Emergency,2011,1495,5.3
State of Grace,1990,13196,7.3
State of Play,2009,97895,7.1
State of the Union,1948,2116,7.4
State's Evidence,2006,568,6
Staten Island,2009,4156,5.9
Stateside,2004,1654,5.9
Static,2012,1260,5.4
Statskiy sovetnik,2005,1580,7.2
Stauffenberg,2004,1693,6.9
Staunton Hill,2009,967,3.7
Stavisky...,1974,899,6.8
Stay,2005,50621,6.9
Stay,2006,2459,5.9
Stay Alive,2006,22620,5
"Stay Away, Joe",1968,663,4.6
Stay Cool,2009,2387,5.3
Stay Hungry,1976,2475,5.7
Stay Tuned,1992,7445,6
Staying Alive,1983,9249,4.3
Staying Together,1989,527,6.3
Stazione Termini,1953,1405,6.4
Steak,2007,1132,5.7
Steal Big Steal Little,1995,744,4.8
Steal This Movie,2000,1948,6.4
Stealing Beauty,1996,16934,6.6
Stealing Christmas,2003,558,5.7
Stealing Harvard,2002,10272,5
Stealing Home,1988,3206,6.7
Stealing Sinatra,2003,516,5.7
Stealth,2005,40802,5
Stealth Fighter,1999,690,3.6
"Steamboat Bill, Jr.",1928,7354,8
Steamboat Round the Bend,1935,540,7.3
Steamboat Willie,1928,3462,7.7
Steel,1997,7273,2.7
Steel Dawn,1987,2901,4.9
Steel Magnolias,1989,28113,7.2
Steel Magnolias,2012,1087,5.6
Steel Toes,2006,770,6.1
Steel Trap,2007,1167,4.4
Steep,2007,520,7.3
Steget efter,2005,646,6
"Steiner - Das Eiserne Kreuz, 2. Teil",1979,525,4.9
Stella,1955,1149,8
Stella,1990,1581,5.8
Stella,2008,1106,7.3
Stella Dallas,1937,2546,7.5
Stella Maris,1918,972,7.8
Stellet Licht,2007,3692,7.2
Step Brothers,2008,163165,6.9
Step Into Liquid,2003,2080,7.5
Step Up,2006,64402,6.5
Step Up 2: The Streets,2008,50829,6.1
Step Up 3D,2010,34454,6.1
Step Up Revolution,2012,31639,6.5
Stepfather II,1989,1830,5.5
Stepfather III,1992,760,4.4
Stephanie Daley,2006,1392,6.3
Stephen Fry: The Secret Life of the Manic Depressive,2006,754,8.2
Stepmom,1998,36805,6.6
Steppenwolf,1974,613,6.4
Stepping Out,1991,738,6.3
Stepsister from Planet Weird,2000,728,6
Steptoe and Son,1973,562,6.5
Stereo,1969,817,5.6
StestÃ,2005,1198,7.3
Steve + Sky,2004,798,6.7
Steve Jobs: The Lost Interview,2012,686,7.9
Stevie,2002,1946,8
Stewardess School,1986,830,3.8
Stick,1985,1116,5.4
Stick It,2006,18509,6.3
Stickmen,2001,1244,6.8
Stiff Upper Lips,1998,806,6.4
Stigmata,1999,48100,6.2
Stiletto,2008,1789,5
Still Breathing,1997,1791,6.9
Still Crazy,1998,5760,7.1
Still Life,2005,509,7.6
Still Life,2013,611,7.5
Still Mine,2012,1188,7.4
Still Small Voices,2007,609,7.1
Still Smokin,1983,5311,5.6
Still Waiting...,2009,4476,5
Still of the Night,1982,2144,6.2
Stille Nacht,2004,721,6.4
Stille dage i Clichy,1970,590,5.5
Stilyagi,2008,2568,7.2
Stingray Sam,2009,539,7.2
Stir Crazy,1980,15002,6.8
Stir of Echoes,1999,54263,7
Stir of Echoes: The Homecoming,2007,1269,4.9
Stitch! The Movie,2003,3182,6
Stitches,2012,4037,5.7
Stjerner uden hjerner,1997,2172,2.2
Sto je muskarac bez brkova?,2005,900,7.1
Stockholm Boogie,2005,831,6.1
Stockholm Marathon,1994,735,5.3
Stockholmsnatt,1987,637,4.4
Stoic,2009,1863,4.6
Stoked: The Rise and Fall of Gator,2002,754,7.2
Stoker,2013,62019,6.9
Stolen,2012,28757,5.5
Stolen Lives,2009,3672,6.2
Stolen Summer,2002,2208,6.5
"Stolen Women, Captured Hearts",1997,553,7.3
Stomp the Yard,2007,17656,5.1
Stomp the Yard 2: Homecoming,2010,1492,4.1
Stone,1974,667,6.5
Stone,2010,30277,5.4
Stone Cold,1991,3893,5.8
Stone Cold,2005,3384,7.2
Stone Reader,2002,515,7.5
Stone of Destiny,2008,2407,6.8
Stoned,2005,3137,5.8
Stonehenge Apocalypse,2010,1741,4.4
Stones in Exile,2010,504,7
Stonewall,1995,1019,7.2
Stop Making Sense,1984,6872,8.4
Stop! Or My Mom Will Shoot,1992,26744,3.9
Stop-Loss,2008,16017,6.5
Storage,2009,573,5.7
Storage 24,2012,4222,4.4
Storie di ordinaria follia,1981,1398,6.9
Stories We Tell,2012,5643,7.7
Stories of Lost Souls,2005,664,5.7
Storm,1999,605,4
Storm,2005,2238,5.8
Storm,2009,994,7
Storm Boy,1976,559,7.2
Storm Catcher,1999,1066,4.1
Storm Center,1956,603,7.2
Storm War,2011,527,3.2
Storm Warning,1951,748,7.3
Storm Warning,2007,4549,5.9
Storm Watch,2002,628,4.9
Stormbreaker,2006,17064,5.2
Stormhouse,2011,918,4.3
Stormy Monday,1988,2401,6.3
Stormy Weather,1943,1003,7.3
Story of G.I. Joe,1945,1806,7.4
Storytelling,2001,13901,6.9
Storyville,1992,794,5.7
Stowaway,1936,566,7.2
Straight A's,2013,2541,5.6
Straight Into Darkness,2004,1112,5.2
Straight Shooter,1999,553,5.2
Straight Story,2006,1039,5.8
Straight Talk,1992,2302,5.5
Straight Time,1978,4021,7.4
Straight from the Heart,2003,805,6.9
Straight on Till Morning,1972,542,6.1
Straight to Hell,1986,1627,5.8
Straight-Jacket,2004,665,6.6
Straightheads,2007,5203,5.6
Strait-Jacket,1964,2573,6.8
Strana glukhikh,1998,784,7.7
Stranded,2001,1987,5.4
Stranded,2013,2417,3.4
Stranded: I've Come from a Plane That Crashed on the Mountains,2007,892,8
Strandvaskaren,2004,1530,4.6
Strange Bedfellows,2004,1384,6.5
Strange Behavior,1981,754,5.7
Strange Cargo,1940,1253,6.9
Strange Days,1995,46148,7.2
Strange Frame: Love & Sax,2012,1412,7.8
Strange Invaders,1983,1523,5.5
Strange Planet,1999,688,5.9
Strange Wilderness,2008,16775,5.3
Strangeland,1998,4925,4.9
Stranger Than Fiction,2000,1062,6.3
Stranger Than Fiction,2006,161613,7.7
Stranger Than Paradise,1984,19940,7.6
Stranger in Our House,1978,1015,5.4
Stranger on the Third Floor,1940,1993,6.9
Strangers When We Meet,1960,1143,7.1
Strangers in Good Company,1990,751,7.8
Strangers on a Train,1951,70932,8.1
Strangers with Candy,2005,6363,6
Strapped,1993,531,6.6
Strapped,2010,1309,6.9
Strategia del ragno,1970,1398,7.2
Strategic Air Command,1955,1924,6.3
Stratosphere Girl,2004,1161,6.6
Straw Dogs,1971,38637,7.6
Straw Dogs,2011,22781,5.8
Strays,1997,1059,5.9
Streamers,1983,1197,6.8
Street Angel,1928,1097,7.6
Street Dreams,2009,709,6.7
Street Fight,2005,1419,8.1
Street Fighter,1994,44630,3.7
Street Fighter Zero,1999,1605,5.9
Street Fighter: The Legend of Chun-Li,2009,17432,3.7
Street Kings,2008,83705,6.8
Street Kings 2: Motor City,2011,2173,4.9
Street Racer,2008,891,3.2
Street Scene,1931,826,7.8
Street Smart,1987,1588,6.4
Street Thief,2006,1472,7.3
Street Trash,1987,4647,6.2
Street of Crocodiles,1986,1413,7.9
StreetDance 2,2012,5040,5.6
StreetDance 3D,2010,6588,5.9
Streets of Blood,2009,3158,4.4
Streets of Fire,1984,9951,6.7
Streetwise,1984,833,8.1
Strella,2009,1518,7.4
Strength and Honour,2007,1434,6.2
Strictly Ballroom,1992,17392,7.3
Strictly Business,1991,1063,5.2
Strictly Sexual,2008,4027,6.5
Stridulum,1979,816,4.4
Strigoi,2009,826,5.7
Strike Up the Band,1940,727,7
Strike!,1998,4934,6.7
Striker,2010,787,7.1
Striking Distance,1993,28889,5.7
Striking Range,2006,673,4.1
Strings,2004,3170,7
Strip Search,2004,1072,6.5
Stripes,1981,36310,6.9
Stripped,2012,803,5.9
Strippers vs Werewolves,2012,1276,3
Striptease,1996,29377,4.2
Stritreysery,2008,563,3.1
Stroker Ace,1983,2102,4.5
Stromberg - Der Film,2014,1729,8.1
Stromboli,1950,2623,7.3
Stroszek,1977,7193,8.1
Strsljen,1998,637,7.1
Struck,2008,504,7.3
Struck by Lightning,2012,9767,6.4
Strul,1988,1204,5.6
Stryker's War,1985,516,6
Str∑karnir okkar,2005,746,5.1
Stuart Little,1999,71225,5.9
Stuart Little 2,2002,26826,5.4
Stuart Little 3: Call of the Wild,2005,1643,4.3
Stuart Saves His Family,1995,2092,5.3
Stuart: A Life Backwards,2007,3013,8.1
Stuck,2007,7524,6.5
Stuck Between Stations,2011,598,6.3
Stuck in Love,2012,24692,7.3
Stuck in the Suburbs,2004,1784,5.6
Stuck on You,2003,38458,5.8
Student Bodies,1981,2791,5.7
Student Seduction,2003,555,5.1
Student of the Year,2012,6262,5.5
Studentfesten,2013,508,5.4
Studio Sex,2012,939,5.7
Stuey,2003,1587,6.1
Stuntmen,2009,597,5.6
Stupeur et tremblements,2003,3128,7.1
Stupidity,2003,656,5.5
Style,2001,891,6.7
Style Wars,1983,1636,8.3
Su Qi-er,2010,6150,6.4
Su ve Ates,2013,1232,6.8
Su-ki-da,2005,667,7.4
Suay Laak Sai,2007,1380,5.3
Sub Down,1997,618,4.6
SubUrbia,1996,6005,6.7
Subarashiki nichiyŸbi,1947,1296,7.3
Subconscious Cruelty,2000,950,5.4
Subida al cielo,1952,684,7.1
Subject Two,2006,1299,5.5
Sublime,2007,5877,5.3
Submarine,2010,45958,7.3
Submarino,2010,5007,7.6
Submerged,2000,523,2.4
Submerged,2005,3481,3.7
Submission: Part I,2004,1278,6.3
Subspecies,1991,1866,5.8
Subspecies 4: Bloodstorm,1998,640,5.6
Subterano,2003,541,4.1
Suburban Commando,1991,6331,4.2
Suburban Girl,2007,5700,5.6
Suburban Knights,2011,568,7.4
Suburban Mayhem,2006,1191,5.9
Suburbia,1983,2474,7.1
Subway,1985,9242,6.5
Successful Alcoholics,2010,566,7.7
Succubus: Hell-Bent,2007,653,3.1
Suchwiin bulmyeong,2001,2461,7.4
Such”mubŸi,2004,11374,6.9
Suck,2009,3263,6.1
SuckSeed: Huay Khan Thep,2011,655,7.6
Sucker Free City,2004,1060,6.9
Sucker Punch,2008,797,5.2
Sucker Punch,2011,161562,6.1
Suckers,2001,730,6.7
Sud pralad,2004,2711,7.2
Sud sanaeha,2002,1252,7.1
Sudba cheloveka,1959,1246,8.1
Sudden Death,1995,21516,5.6
Sudden Fear,1952,2279,7.6
Sudden Impact,1983,24380,6.6
Suddenly,1954,3483,6.9
Suddenly,2013,676,3.8
"Suddenly, Last Summer",1959,8224,7.7
Suden vuosi,2007,615,6.3
Sudor frÃo,2010,539,4.9
Sue,1997,1078,7.3
Suen sei cho,1997,757,6.2
Sueurs,2002,547,5.5
Suffering Man's Charity,2007,647,4.8
Sugar & Spice,2001,10139,5.5
Sugar,2004,1447,6
Sugar,2008,3758,7.2
Sugar Hill,1974,789,5.7
Sugar Hill,1993,2603,5.8
Sugar Town,1999,702,6
Sugarhouse,2007,1090,6
Sugartime,1995,502,6.4
Sugata SanshirŸ,1943,2459,6.9
Sui yuet san tau,2010,1032,7.4
Suicide Girls Must Die!,2010,583,3.1
Suicide Kings,1997,20117,7
Suing the Devil,2011,3185,5
Suite 16,1994,520,5.7
Sukai kurora,2008,3721,6.8
Sukeban Deka: KŸdo nÕmu = Asamiya Saki,2006,882,5.3
Sukiyaki Western Django,2007,11739,6.3
Sukkar banat,2007,7744,7.2
Sullivan's Travels,1941,14478,8.2
Sult,1966,1590,8
Sultan,1978,1222,7.8
Sultanes del Sur,2007,882,6.1
Summer,2008,745,6.8
Summer Catch,2001,11464,4.9
Summer Holiday,1963,849,6.1
Summer Lovers,1982,2537,5.6
Summer Magic,1963,1240,7
Summer Rental,1985,8159,6.1
Summer School,1987,10484,6.5
Summer Stock,1950,2168,7.3
Summer and Smoke,1961,1211,8
Summer in February,2013,1245,5.7
Summer of '42,1971,4257,7.3
Summer of Sam,1999,27827,6.6
Summer's Blood,2009,2380,4.5
Summertime,1955,4847,7.6
Summoned,2013,718,4.4
Sun Valley Serenade,1941,815,7.3
Sun cheung sau,2009,1445,5.6
Sun faa sau si,1998,1796,6.6
Sun lung moon hak chan,1992,2265,7.4
Suna no onna,1964,8620,8.3
Sunday,1997,550,7.1
Sunday,2008,1370,5.3
Sunday Bloody Sunday,1971,2918,7.2
Sunday School Musical,2008,518,2.5
Sunday in New York,1963,1540,6.7
Sundays at Tiffany's,2010,2425,6.7
Sundown: The Vampire in Retreat,1989,1268,6.4
Sune i Grekland - All Inclusive,2012,578,4
Sunes sommar,1993,2240,6.8
Sungnyangpali sonyeoui jaerim,2002,1006,5.8
Sunlight Jr.,2013,1108,5.7
Sunnyside,1919,1424,6.8
Sunrise at Campobello,1960,640,7.1
Sunrise: A Song of Two Humans,1927,21422,8.4
Sunset,1988,2644,5.7
Sunset Blvd.,1950,104199,8.6
Sunset Bollywood,2005,634,10
Sunset Park,1996,992,5.7
Sunset Strip,2000,1120,5.8
Sunshine,1999,9983,7.5
Sunshine,2007,149343,7.3
Sunshine Cleaning,2008,53709,6.9
Sunshine State,2002,3252,6.9
Sunshine on Leith,2013,1940,6.7
Suor Omicidi,1979,791,5
Super,2010,48665,6.8
Super 8,2011,232960,7.1
Super 8 Stories,2001,600,6.7
Super Capers: The Origins of Ed and the Missing Bullion,2009,814,3.3
Super Cyclone,2012,610,2.1
Super Fly,1972,3524,6.5
Super High Me,2007,9558,6.2
Super Hybrid,2010,1147,3.9
Super Mario Bros.,1993,31436,4
Super Rhino,2009,573,6.5
Super Shark,2011,1227,2.4
Super Size Me,2004,67193,7.4
Super Sucker,2002,782,4.5
Super Sweet 16: The Movie,2007,1286,3.8
Super Tanker,2011,777,3.4
Super Troopers,2001,62755,7.1
Super Xuxa Contra o Baixo Astral,1988,528,2.5
Superbabies: Baby Geniuses 2,2004,22260,1.9
Superbad,2007,334397,7.7
Supercl∑sico,2011,1551,6.4
Supercondriaque,2014,516,6
Supercroc,2007,770,2
Supercross,2005,3535,3.8
Superfantagenio,1986,1571,5.2
Superfantozzi,1986,888,6.5
Supergator,2007,627,3
Supergirl,1984,11274,4.3
Superhero Movie,2008,42671,4.5
Superheroes,2011,1255,6.4
Superman,1941,1667,7.3
Superman,1978,101439,7.4
Superman II,1980,57944,6.8
Superman II,2006,6186,7.9
Superman III,1983,38224,4.9
Superman IV: The Quest for Peace,1987,27923,3.6
Superman Returns,2006,209175,6.2
Superman and the Mole-Men,1951,793,5.9
Superman ieotdeon sanai,2008,1046,7.5
Superman vs. The Elite,2012,5420,7.1
Superman/Batman: Apocalypse,2010,9928,7.1
Superman/Batman: Public Enemies,2009,8546,7.2
Superman/Doomsday,2007,9601,7.1
Superman: Brainiac Attacks,2006,1825,5.9
Superman: The Last Son of Krypton,1996,1057,7.8
Superman: Unbound,2013,4336,6.6
Supernatural,2005,1956,8.4
Supernatural Activity,2012,757,2.9
Supernova,2000,12497,4.7
Supernova,2005,1255,3.6
Superstar,1999,12795,4.9
Superstar,2008,500,6.1
Superstar,2009,950,6.1
Superstar: The Karen Carpenter Story,1988,1674,7.9
Superstau,1991,560,6.1
Superstition,1982,1248,5.9
Supervixens,1975,2813,6.2
Supervoksen,2006,598,5.7
Supervolcano,2005,1516,6.9
Support Your Local Gunfighter,1971,2958,6.9
Support Your Local Sheriff!,1969,6329,7.5
Supporting Characters,2012,503,6.3
Supravietuitorul,2008,958,6.3
Supreme Sanction,1999,580,4.8
Sur,1988,518,7.4
Sur la piste du Marsupilami,2012,2002,5.5
Sur le seuil,2003,871,6.5
Sur mes lÀvres,2001,9129,7.4
Sur un arbre perch»,1971,1390,6.2
Sura,2010,2830,2.6
Surf Nazis Must Die,1987,3559,3.3
Surf Ninjas,1993,5449,4.9
Surf School,2006,4324,2.1
Surf's Up,2007,43974,6.8
"Surfer, Dude",2008,6130,4.7
Surfwise,2007,949,7.3
Suriyothai,2001,1509,6.6
Surogat,1961,583,7.3
Surplus: Terrorized Into Being Consumers,2003,1187,7
Surrender,1987,562,5.3
"Surrender, Dorothy",2006,582,5.6
Surrogates,2009,130638,6.3
Surveillance,2008,13162,6.4
Survival Quest,1988,583,6.2
Survival of the Dead,2009,14872,5
Survive Style 5+,2004,6949,7.8
Surviving Christmas,2004,14326,5.2
Surviving Desire,1993,1048,7.5
Surviving Picasso,1996,5049,6.3
Surviving Progress,2011,1165,7.4
Surviving Sid,2008,581,6.7
Surviving the Game,1994,7101,6
Survivre avec les loups,2007,517,6.6
Suryam,2004,545,7.5
Susan Lenox <Her Fall and Rise>,1931,621,6.5
Susan Slept Here,1954,866,6.5
Susan and God,1940,633,5.7
Susan's Plan,1998,1422,5.3
Susana,1951,999,7.3
Sushi Girl,2012,2829,6
Susie Q,1996,1870,7.4
Suspect,1987,5758,6.6
Suspect Zero,2004,14321,5.9
Suspension,2008,1221,5.2
Suspicion,1941,18877,7.5
Suspicious River,2000,641,5.7
Suspiria,1977,35675,7.5
Susuz yaz,1963,1074,8.1
Sutekina kanashibari,2011,501,7.2
Sutjeska,1973,688,6.8
Sutorenjia: MukŸ hadan,2007,6555,7.8
Sutor”to FaitÇ II gekijŸ-ban,1994,5235,7.3
Suture,1993,1194,6.7
SuwarŸteiru,1996,2294,7.7
Suwingu gÇruzu,2004,2090,7.7
Suw”to rein: Shinigami no seido,2008,883,7.1
Suzanne's Diary for Nicholas,2005,830,6.7
Suzhou he,2000,2659,7.5
Suzie Gold,2004,545,5.7
Suzumiya Haruhi no shŸshitsu,2010,2196,8.1
Suzy,1936,673,6.4
Svadba,2000,923,7.2
Svart Lucia,1992,503,4.9
Svartur ∑ leik,2012,2583,6.8
Svecenikova djeca,2013,1531,6.9
Svengali,1931,881,6.9
Svensson Svensson - Filmen,1997,640,5.1
Svetat e golyam i spasenie debne otvsyakade,2008,3949,8.1
Sveti Georgije ubiva azdahu,2009,1125,6.4
Svidd neger,2003,1509,6.7
Svinalângorna,2010,2494,7
Svitati,1999,671,3.5
Svjedoci,2003,571,7
Svoi,2004,861,7.8
Svolochi,2006,1881,6.2
"Svoy sredi chuzhikh, chuzhoy sredi svoikh",1974,1371,7.7
"Swades: We, the People",2004,35219,8.5
Swamp Devil,2008,699,4
Swamp Shark,2011,1397,3.8
Swamp Thing,1982,7453,5.4
Swamp Water,1941,808,7.3
Swamp Women,1956,1174,2.7
Swarmed,2005,936,4.1
Swashbuckler,1976,953,6
Sweatshop,2009,701,4
Sweeney Todd,2006,2137,7.1
Sweeney Todd: The Demon Barber of Fleet Street,1936,565,6.1
Sweeney Todd: The Demon Barber of Fleet Street,1982,2723,8.4
Sweeney Todd: The Demon Barber of Fleet Street,2007,222116,7.5
Sweeney Todd: The Demon Barber of Fleet Street in Concert,2001,578,8.4
Sweepers,1998,1186,3.5
Sweet Bird of Youth,1962,4280,7.5
Sweet Charity,1969,2699,7
Sweet Dreams,1985,2563,7.1
Sweet Hearts Dance,1988,584,5.7
Sweet Home Alabama,2002,68843,6.1
Sweet Insanity,2006,695,2.1
Sweet Karma,2009,1290,5.3
Sweet Land,2005,2788,7.3
Sweet Liberty,1986,1968,5.7
Sweet Movie,1974,3100,6.3
Sweet November,1968,631,7.2
Sweet November,2001,57149,6.6
Sweet Sixteen,2002,8991,7.5
Sweet Smell of Success,1957,15932,8.2
Sweet Sweetback's Baadasssss Song,1971,2845,5.5
Sweet and Lowdown,1999,23354,7.3
Sweetgrass,2009,577,6.9
Sweethearts,1997,546,6.6
Sweetie,1989,1851,6.8
Sweetwater,2013,2687,6.1
Swept Away,2002,11645,3.6
Swept from the Sea,1997,2204,6.9
Swerve,2011,1043,5.3
Swimfan,2002,14580,4.9
Swimming,2000,845,6.4
Swimming Pool,2003,30564,6.8
Swimming Pool - Der Tod feiert mit,2001,2008,4.1
Swimming Upstream,2003,2575,7.2
Swimming to Cambodia,1987,1442,7.8
Swimming with Sharks,1994,16673,7.2
Swindle,2013,710,6.8
Swing,2002,687,7.2
Swing Kids,1993,11811,6.7
Swing Shift,1984,2601,5.9
Swing Time,1936,7311,7.7
Swing Vote,2008,13212,6.1
Swingers,1996,55377,7.4
Swingers,2002,749,5.9
Swinging with the Finkels,2011,2067,4.5
Swiri,1999,6360,6.7
Swiss Family Robinson,1960,7860,7.2
Swiss Miss,1938,1006,6.7
Switch,1991,5695,5.7
Switch,2007,716,5.2
Switch,2011,2000,6.3
Switchback,1997,8316,6.4
Switched at Birth,1991,503,6.7
Switching Channels,1988,2400,5.9
Switching Goals,1999,1972,4.9
Swoon,1992,1122,6.8
Sword of Gideon,1986,784,7.2
Sword of Honour,2001,559,6.6
Sword of Sherwood Forest,1960,650,6.4
Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,1984,1318,4.3
Swordfish,2001,135077,6.5
Sybil,2007,800,6.9
Sydney,1996,21532,7.3
Sydney White,2007,28091,6.3
Sykt lykkelig,2010,2003,6.6
Sylvia,2003,7833,6.3
Sylvia Scarlett,1935,2208,6.3
Symbiopsychotaxiplasm: Take One,1968,709,7.2
Symetria,2003,1561,7.7
Sympathy for Delicious,2010,1326,5.8
Sympathy for the Devil,1968,1933,6.4
Symphonie diagonale,1924,735,6.2
Syn Babilonu,2009,579,7.3
"Synecdoche, New York",2008,40124,7.4
"Syngu» sabour, pierre de patience",2012,1942,7
Syostry,2001,1381,7
Syriana,2005,92963,7
Syrup,2013,5868,5.7
"Szabads∑g, szerelem",2006,2660,7.2
Szaffi,1985,586,8.1
Szamanka,1996,675,5.8
Szeg»nyleg»nyek,1966,1226,7.9
Szerelem,1971,926,8
Szindb∑d,1971,654,7.8
Sztuczki,2007,1442,7.1
Sztuka spadania,2004,2438,7.9
Sáid»kÀ bal∑i,2011,4370,7.6
S∑t∑ntang€,1994,4743,8.5
Sâg att du âlskar mig,2006,770,4.8
Sâllskapsresan eller Finns det svenskt kaffe p¬ grisfesten,1980,4029,7.3
S¬ som i himmelen,2004,11489,7.6
S¬nger fr¬n andra v¬ningen,2000,9171,7.6
S¬som i en spegel,1961,11430,8.1
S»ance,2006,667,4.7
S»ptimo,2013,913,5.8
S»raphin: un homme et son p»ch»,2002,772,6.8
S»raphine,2008,3997,7.4
S»rie noire,1979,1099,7.5
SÃlenÃ,2005,2250,7.3
SÃ?asti b rinn,2004,718,7.6
S€d€ma ReykjavÃk,1992,811,7.9
S€lo Dios sabe,2006,677,6.4
S€lo con tu pareja,1991,1787,7.2
SŸseiji,1999,1570,7
SŸshun,1956,1262,7.9
SØndagsengler,1996,988,7.1
SØnner,2006,1099,7.2
SØnner av Norge,2011,996,6.5
S∏gisball,2007,1300,7.3
S∏mela'nin sifresi: Temel,2011,1698,4.1
S∏perseks,2004,516,5.8
S∏r∏,1979,1471,8.3
S∏skind,2012,1227,6.9
S∏t,2008,1496,6.8
S∏t kardesler,1976,10466,8.9
T-Men,1947,1491,7.1
T-Rex: Back to the Cretaceous,1998,584,4.6
T.N.T.,1997,502,2.6
T2 3-D: Battle Across Time,1996,5961,7.9
TBS,2008,2392,7.2
TC 2000,1993,582,4.2
THX 1138,1971,32992,6.8
TMNT,2007,46076,6.4
TNT Jackson,1974,553,4.6
TPB AFK: The Pirate Bay Away from Keyboard,2013,9089,7.7
TRON,1982,79047,6.8
TRON: Legacy,2010,213046,6.9
TT3D: Closer to the Edge,2011,3764,8.1
TV Junkie,2006,546,7.3
